TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABR|29	6123.73	2158.37	4103.01	3426.19	4460.98	424.097696430206	761.658707305343	737.148311625682	325.917020696805	574.540031837972
ABRA|137735	0.6146	4.4849	0.4222	0.4762	0	-0.375208322572614	-0.375208322572614	1.05791113177285	0.412859631199473	0.557854361276321
ABT1|29777	388.457	810.091	794.09	555.714	607.317	1386.19846059617	1491.20179428301	1211.55653247487	2193.65486335686	1093.68332918028
ABTB1|80325	293.801	479.327	337.731	212.857	465.854	469.990667541532	1579.19302143556	2098.25426791142	517.325649572948	603.897195948692
ABTB2|25841	97.1142	278.627	145.224	68.5714	222.561	38.7763457483072	95.9061762071874	377.73121814415	126.048205641252	266.477685254689
ACAA1|30	1519.41	1110.02	839.683	1452.86	1376.83	1586.47508838214	1468.56476224351	1827.51407858059	1201.51014461972	515.031720769962
ACAA2|10449	725.898	1293.34	605.383	1902.38	1425	1589.44256048931	1070.02587809858	379.908792263793	1431.26402016458	2169.48532022168
ACACA|31	2429.7	821.864	1279.16	1732.86	739.634	566.67674226918	336.293984108821	604.60560365626	868.076628404519	684.252218410988
ACACB|32	199.76	82.9713	40.1055	292.381	217.683	213.922766141741	86.9883898494653	413.172556811014	256.285450993884	416.584349940464
ACAD10|80724	400.75	304.415	328.021	310.952	262.805	682.269874958857	322.387888059716	534.035104263846	469.562662697119	649.663012315547
ACAD11|84129	726.445000000001	362.719	242.744	352.857	701.799	293.792528015107	301.425777107541	473.776928327046	297.240215017162	240.499416552693
ACAD8|27034	755.401	395.795	673.351	936.191	609.146	256.540308878573	556.358298943972	681.425856468482	550.351788803277	475.062028792029
ACAD9|28976	752.937	464.191	699.521	520.933	931.671	1518.56070105045	1184.750241192	1714.72087965776	1632.44220871	1722.58416037194
ACADL|33	15.9808	3.9243	0.8443	40.9524	68.2927	4.78591613953032	-0.0287599148952856	0.602755061445515	5.55798947858756	0.259259568868576
ACADM|34	1182.58	1082.55	1098.05	1095.71	1506.71	1277.86693235966	591.404943797692	782.331441334749	841.450775111522	674.972904528834
ACADS|35	346.046	364.962	95.409	188.571	643.902	467.445847596502	193.812146032565	498.106389898283	329.659521130641	268.816144961477
ACADSB|36	817.481	451.857	243.588	254.286	309.146	370.436780531457	544.13921951727	495.345804296919	269.81031680446	201.010828530648
ACADVL|37	3012.31	3701.74	3072.49	3282.32	3613.77	2747.19314137665	3234.8345751992	4958.45357470103	3655.40670197346	4125.94533734484
ACAN|176	103.261	121.093	93.2982	14.7619	53.6585	12.7014416738213	29.1610740011216	1.50527236925591	4.7739357840057	27.9803019539158
ACAP1|9744	35.6495	133.987	8.4433	20.9524	98.1707	192.841463289852	379.323310702888	36.8817762555055	37.3585065356278	150.765843666101
ACAP2|23527	1375.58	902.593	667.863	1021.9	843.293	1377.76835420935	697.490168074785	2378.05609043093	832.198142023391	1907.92632970059
ACAP3|116983	1841.97	903.854	2102.59	2475.13	459.927	493.620451466432	489.098479391945	881.029011311493	443.969002025786	899.22553492184
ACAT1|38	1101.45	854.38	1741.85	1091.9	1870.73	586.484242413852	778.538403491417	563.515086593614	803.132025443106	306.524555388431
ACAT2|39	971.696	858.174999999999	929.038	1188.61	649.963	623.548541455503	331.932471544442	398.338485682309	544.280243239579	558.199885266275
ACBD3|64746	1103.29	1361.18	926.227	842.857	1075.61	1240.84077648095	2248.41283522354	869.859118309934	1232.01828828961	1294.3098152525
ACBD4|79777	168.413	188.928	119.894	138.571	289.634	350.914649453285	530.107043748054	294.06463444683	299.989677846286	142.721163301657
ACBD5|91452	2099.02	661.528	873.034	703.333	1100.61	545.721809568711	546.011687642772	264.903355353676	567.943615689477	410.767138500775
ACBD6|84320	478.195	609.39	922.005	619.048	615.854	680.837455083395	592.307367826234	402.047405770747	964.387625998472	552.231166794132
ACBD7|414149	430.868	68.9559	170.976	668.571	40.8537	429.153799317049	65.231796626155	629.690632569511	597.2204050439	357.829619306076
ACCN1|40	47.3278	16.2579	0	4.7619	2.439	-0.0901314075972328	-0.281439279682838	8.07280801922332	16.5784013383952	38.764286909319
ACCN2|41	1480.68	109.32	699.947	1670.95	1576.83	33.8458497750958	21.6763343625028	401.335060770266	119.829292323674	20.5625518397244
ACCN3|9311	19.0541	33.637	50.6596	167.143	87.8049	28.45339931163	8.56413302204589	67.9022317893801	2.45740897083127	22.0639788698358
ACCN4|55515	167.184	21.8641	457.625	703.809	8.5366	0.89330360021981	0.734856054363234	1.74990405308146	3.89978782796354	1.90366763807072
ACCN5|51802	0	0	0	0	0.6098	0	0	0	0	0
ACCS|84680	63.9233	59.4254	22.7968	126.667	122.561	401.66396762509	336.821473175308	311.675374457123	221.844298726337	404.972369651709
ACCSL|390110	0	0	0	0	0.6098	0	0	0	0	0
ACD|65057	410.584	537.071	553.034	517.619	314.634	333.598825817495	493.152168284133	209.171601119145	477.545191225901	434.547210184078
ACE|1636	763.392	206.868	972.243	495.238	110.976	418.155454393697	1421.38026743518	646.592204651398	114.81652767872	352.973814996502
ACE2|59272	0	1.6819	1.2665	2.8571	6.0976	2.32843916459557	30.0884657078367	15.0018808377409	5.23829537227946	17.144341639113
ACER1|125981	0	0	0	0	0	0	0	0	0	0
ACER2|340485	33.1909	26.9096	9.7098	19.5238	23.7805	36.7693530444241	133.085188089694	72.6267793807465	18.459938100012	145.418004025647
ACER3|55331	605.427	447.933	402.322	308.095	576.829	254.649078911869	221.137103149689	504.444174108158	255.739869679595	276.765480079474
ACHE|43	82.3627	498.388	212.77	100.952	75.6098	28.7633458745373	13.2856248057189	101.766642110379	44.5945911967404	6.59645165998525
ACIN1|22985	1893.11	1616.26	2564.22	3064.29	1498.17	4335.08813221495	3712.73635903423	3045.01701191885	3279.25582565351	3730.15740597554
ACLY|47	4905.5	2965.1	4612.98	5054.29	3619.51	1646.75390702394	1791.15986940124	1844.46467577646	2845.67915048856	1714.38005047187
